id;uuid;name;username;password;accesslevel;estado_esperado
49;a137028f-95b7-4d6f-bbf9-d11cd1b1cdda;Derek Johnson;richard02;)61BCTnjCo;cliente;401
50;885d8432-aaa8-4a2a-9255-7c8326c2ef84;Melissa Smith;sarahdavis;02SRuJo*)H;cliente;401
51;f18da318-3166-469b-84e1-da9d79a7b92e;Christopher Carey;gprince;*k7EkPJhny;admin;401
52;98c2ff13-0858-4af9-a3c4-6933d1a78b71;Darryl Swanson MD;michael10;m0!VN6h4+Z;cliente;401
53;f284d164-d8f9-4e3a-a7e1-b0ce7aac0984;George Esparza;todd41;G!F4BHMc(O;admin;401
54;50381650-9b71-4b96-8291-279b171b79bd;Amanda Clark;nicole08;7B#8LB!hgv;gestor_inventario;200
55;06b88685-ea2e-46da-b898-39e7252a2e5b;Anne Reed;millscaitlin;DI))1Brb1t;cliente;401
56;02f1537e-4c0e-4df7-9545-061dc20b591a;Robert White;martinhayley;5jOvLTts%F;admin;401
57;2d3a8b31-f220-41f7-9fc4-6f50896ae4a9;Jose Walls;danielreyes;l5N1XfUry_;cliente;401
58;810956a0-9ca3-4e98-a09e-78f18ecf1a47;Debbie Morales;whenderson;yQeW9XcTZ_;viewer;401
59;a71ef1ee-8d14-4d19-93a3-34254ea6c713;Michael Gates;careyerin;@r6ZWY5v8x;cliente;401
60;3bcb5132-2706-49bf-8e84-f3d5390e21fa;Thomas Mckee;xfowler;$ydfJjPw96;admin;401
61;4b74bd4f-0978-46b6-95cb-89c7bbf79e50;Bryan Morgan;logankevin;%vNcg1WP*3;admin;401
62;3bb17497-3129-44ca-9e53-1ed445623a3a;Robin Moreno;foxmichael;5M4B_!Vw@Q;gestor_inventario;200
63;9fb6663c-bdb8-40ca-8bc5-2afaff3c47d6;Holly Wilson;christy39;wq@88ZImHu;gestor_inventario;200
64;72c6730b-2149-4e86-a989-f1a1fb9b4c4c;Krista Garcia;michaelherrera;(V7AVwA(5t;admin;401
65;77f9c6cd-7304-4688-abeb-e11d916c2894;John Gaines;kaylawheeler;eo57cDqnA+;cliente;401
66;54ad1ccf-768a-4b8b-afd5-340186da0982;Rodney Benitez;rosemitchell;#7GQ98jGAY;admin;401
67;f16e3ca2-84e9-4ea5-88d6-e4dfcd237bcc;Janet Gordon;michellerobles;$9dej)Hg*r;admin;401
68;3694458a-1ac6-444f-a548-724175ed89be;Nicholas Evans;barrettmatthew;s)4PefO+fp;cliente;401
69;8ded1973-b1fe-4acc-8ce0-892a9bdbec24;Patrick Craig;kristaharris;tQY5oV8h8$;viewer;401
70;86861d3c-7d0f-49d6-85d9-88d62ce2bf25;Donald Gonzales;sgriffith;&yoPOpnU^2;viewer;401
71;f330e02e-6aa3-4e68-bf9f-26271f934bfb;Gilbert Nguyen;maurice36;kr3$7YyEo8;cliente;401
72;1294223d-f798-4113-90ba-b7d0ec42d1cb;Daniel Phillips;jessica11;%N1qJOPlL^;viewer;401
73;4db0544b-13d8-4d1e-8c9e-aaac60c6acbc;Lauren Flores;kristi40;P#7m$XrjYY;admin;401
74;40594660-c434-40c4-b63a-01edc5e67645;Eric Hardin;torresamy;YvN4AUyT*d;cliente;401
75;cd057e55-a65c-4546-8b0c-516f6a016fce;Dawn Evans;kristy01;8@Fg7mwr!H;cliente;401
76;07a34e14-824a-4cc7-a3fe-d7b4ebdc0940;Jose Willis;christygreen;Be+YQnO0S(;cliente;401
77;8307b03e-87e6-4adf-911d-a2256746ac84;Jeffrey Ramirez;matthewsmith;@)1gSxwGeE;admin;401
78;ea818d87-bd1b-4c1e-a072-304ae67e9917;Kaitlyn Parker;wilsonjared;WgLWJ3lm*2;admin;401
79;62558214-bed2-4bf1-ac12-d2584660742b;Amanda Hill;anna93;$g2koNzbF0;viewer;401
80;319a973b-9c7d-4185-81de-44cb559c9b19;Christina Ford;nicolebradford;*5Jj2X)7nQ;cliente;401
81;e0829a77-eedd-4f5f-9500-d5a513480b82;Rachel Johnson;ashleyorozco;%P#mUpZN2n;viewer;401
82;9386e521-3f34-43b8-b2ee-79b1f96060fe;Lindsay Crane;amy77;i0M&a%au@@;gestor_inventario;200
83;ccdcd6e1-69a9-46b1-bd8f-dc95b4a551ae;Jennifer Case;ejuarez;^U9yWxIy0M;gestor_inventario;200
84;a3e9770e-2e5a-4370-b63f-1de6789c4575;Brian Mendez;troy73;Q(n3YvHE@5;viewer;401
85;12782a75-6acb-4b32-974a-52b50a06fd6e;Stacy Brown;ujackson;O1bj3P6m3#;viewer;401
86;9aefd375-d8de-46e8-804e-55520e96d308;Elizabeth Fletcher;larryking;bM%u5wHgZx;cliente;401
87;401e792b-c87f-4c77-9895-035cfeebe267;Bryan Johnson;nhill;!5!_yR1a1z;cliente;401
88;f168485d-e534-42b2-a68d-71c944f55777;David Johnson;nford;#$8zLoKg2N;admin;401
89;9bf5edbd-b01c-44d4-a846-0d1ad0e09934;Angela Ponce;michaelruiz;d*^7mNDH&q;viewer;401
90;04a9840a-fa7a-4284-bab0-673a16ccc15a;Carol Murphy;zpaul;TPe4&cFn$u;cliente;401
91;e3b03bcf-6f0c-452d-930f-c191eb39c924;Ryan Morgan;wlang;SX9Cd0U!z+;admin;401
92;7c53b6fd-2bab-42a7-955a-88c61dae0dfe;Cassandra Hartman;mathewsaustin;!2FgwTZb9n;admin;401
93;eaf596c6-7c40-4497-a2dc-0e9ef066053c;Alexandra Reese;john69;&jGthYz#25;cliente;401
94;8d5b0fb7-c182-44c0-b8e7-ff51ff702c5b;Patricia Johnson;ysnyder;+dr0TvCiv3;gestor_inventario;200
95;8e25bb6f-f223-4d24-9dc7-c7b9759c5508;Martha Caldwell;brobertson;$MJh7Wsp4S;admin;401
96;173e362e-32a5-4431-bce8-ac166b296cab;Matthew Griffin;riveraheather;WJr+5X1md%;viewer;401
97;54161ba2-3e21-4ebf-8a96-e00841276891;Tyler Kemp;michael88;(GpXsM1j16;viewer;401
98;ac711183-67e2-495d-9bbd-b3908811079b;Gregory Bridges;henrywashington;%Snz5C#ky_;admin;401
99;6d2ceed9-1d26-49f7-858e-6e2dc04d0483;Ashley Singleton;timothy87;#7F3)n%aSS;gestor_inventario;200
100;7021aa9a-28a3-418a-80bf-76aac2f36eae;Sydney Caldwell;emontoya;^1LxO(nISh;gestor_inventario;200
